__key,lon,lat,Object Number,Restaurant Street address,Restaurant City,State,year opened,year closed,Owner surname(s),Is it in the 1960 Catalog?,pattern,earliest year for artifact,latest year for artifact,Pattern varient,Additional Design,Vessel form,rim diameter (cm),vessel height (in cm),thickness of vessel walls (in mm),thickness of lip (in mm),foot rim diameter (cm),height of foot (in mm),Mark (use letter code sheet),"sticker (use code, 0=none)",volume of cup or teapot in ml,weight (in grams),Additional design
CHIN'S CAFE,-123.3523698,43.201058,FSL-25,1614 S. E. Stephens St.,Roseburg,OR,1960.0,2012.0,,,Bird and Flower,,,B-II,,Tea Cup,8,5.50 cm,6.56 mm,8.00 mm,4.00 cm,5.00 mm,G,0,110.00 ml,163.00 g,
CHINA CAFE,-123.0196998,44.9566675,FSL-002,2055 Fairgrounds Rd. N. E.,Salem,OR,1949.0,1973.0,,,Bird and Flower,,,B-III,,Tea Cup,8,5.50 cm,6.00 mm,7.70 mm,4.00 cm,3.00 mm,D,0,110.00 ml,146.00 g,
CHINA CAFE,-123.0196998,44.9566675,FSL-026,2055 Fairgrounds Road,Salem,OR,1949.0,1973.0,,,Lustre Floral,,,,,Tea Cup,8,5.50 cm,5.41 mm,6.38 mm,3.00 cm,4.00 mm,B,0,110.00 ml,125.36 g,
CHINA CAFE,-123.0196998,44.9566675,FSL-367,2055 Fairgrounds Road,Salem,OR,,,,,Custom / Misc Pattern,,,,3 Chinese characters in cup along rim,Tea Cup,,,,,,,B,0,,,
CHINA CITY CAFE,-123.0410395,44.9036901,FSL-018,3555 S. Commercial,Salem,OR,1953.0,1972.0,,,Women / Characters,,,,,Tea Cup,8,5.00 cm,4.63 mm,6.50 mm,4.00 cm,2.00 mm,B,0,110.00 ml,136.46 g,
CHINA CITY CAFE,-123.0410395,44.9036901,FSL-023,3555 S. Commercial,Salem,OR,1953.0,1972.0,,,Women / Characters,,,,,Tea Cup,8,5.00 cm,5.00 mm,6.39 mm,4.00 cm,3.00 mm,B,0,110.00 ml,134.50 g,
FORTUNE COOKIE,-123.1359542,44.8839021,FSL-003,4900 N. River Rd.,Salem,OR,1971.0,1988.0,,,Dragon and Phoenix,,1983.0,A-VI,,Tea Cup,8,5.50 cm,5.37 mm,5.60 mm,4.00 cm,5.00 mm,C,0,130.00 ml,128.00 g,
CHUNGKING CAFE,-117.9106628,33.8363569,FSL-083,327 E. Center Street,Anaheim,CA,,,,,Women / Characters,,,C-VII,"""In the City with Disneyland"" Logo",Tea Cup,7.50 cm,5.00 cm,3.68 mm,2.50 mm,3.00 cm,4.00 mm,D,0,110.00 ml,80.05 g,
MAN FOOK LOW,-118.2511548,34.0362663,FSL-084,962 So. San Pedro St.,Los Angeles,CA,,,,yes,Dragon and Phoenix,,1983.0,A-IV,,Tea Cup,7.50 cm,5.00 cm,5.32 mm,6.69 mm,4.00 cm,3.00 mm,B,0,110.00 ml,140.07 g,
MAN FOOK LOW,-118.2511548,34.0362663,FSL-101,962 So. San Pedro St.,Los Angeles,CA,,,,yes,Dragon and Phoenix,,1983.0,A-IV,,Tea Cup,7.50 cm,5.00 cm,4.76 mm,6.56 mm,4.00 cm,3.00 mm,B,0,110.00 ml,132.51 g,
MAN FOOK LOW,-118.2511548,34.0362663,FSL-303,962 S. San Pedro St.,Los Angeles,CA,,,,yes,Dragon and Phoenix,,1983.0,DP IV,,Tea Cup,7.6 cm,5.2 cm,4.7 mm,6.3 mm,3.7 cm,2 mm ,B,0,110 ml,134.9 g,Chinese characters below address
SHENG HAW LOW CAFE,-117.1623264,32.72658835,FSL-085,1052 Third Ave.,San Diego ,CA,1952.0,1969.0,Tommy Sheng,,Bird and Flower,1950–1959,1969.0,B-IV,Hawaiian girl riding a Stork,Tea Cup,8.00 cm,5.00 cm,5.97 mm,8.35 mm,4.00 cm,3.00 mm,D,0,110.00 ml,140.60 g,
PAGODA CAFE,-119.2488956,35.7678052,FSL-086,911 Glenwood St.,Delano,CA,,,,,Women / Characters,,,,,Tea Cup,7.50 cm,5.00 cm,5.62 mm,6.89 mm,3.50 cm,2.00 mm,B,0,110.00 ml,130.88 g,
ROYAL CANTON CAFE,-117.2926095,33.0374095,FSL-087,641 First St.,Encinitas,CA,,,,,Women / Characters,,,,Picture of the Restaurant,Tea Cup,8.00 cm,5.00 cm,5.68 mm,7.47 mm,4.00 cm,2.00 mm,D,0,110.00 ml,138.96 g,
ROYAL CANTON CAFE,-117.2926095,33.0374095,FSL-089,641 First St.,Encinitas,CA,,,,,Women / Characters,,,,Picture of the Restaurant,Tea Cup,7.50 cm,5.00 cm,5.30 mm,7.35 mm,4.00 cm,2.00 mm,D,0,110.00 ml,133.02 g,
MING'S,-118.1248403,33.8708284,FSL-088,17812 S. Bellflower Blvd.,Bellflower,CA,1952.0,2018.0,,,Women / Characters,,,,,Tea Cup,7.50 cm,5.00 cm,7.21 mm,8.06 mm,4.00 cm,3.00 mm,D,0,110.00 ml,142.80 g,
HOLLY CAFE,-122.390885,40.584862,FSL-090,1429 Market St.,Redding,CA,,,,yes,Women / Characters,,,C-III,,Tea Cup,8.00 cm,5.50 cm,5.88 mm,6.84 mm,4.00 cm,5.00 mm,G,0,120.00 ml,134.37 g,
HOLLY CAFE,-122.390885,40.584862,FSL-306,,Reddings,CA,,,,yes,Dragon and Phoenix,,1983.0,DPV,,Tea Cup,7.6 cm,5 cm,5.1 mm,6.7 mm,3.3 cm,2 mm,B,0,106 ml,118.7 g,Chinese characters below address/ Also take out orders
TOA LEE YON,-122.406882,37.795288,FSL-091,816 Washigton St.,San Francisco (Chinatown),CA,,,,,Individualized Logo,,,,Wen,Tea Cup,7.50 cm,5.00 cm,4.27 mm,7.14 mm,4.00 cm,2.00 mm,B,0,120.00 ml ,130.44 g,
EDNARAY RESTAURANT,-121.9802068,37.2293915,FSL-092,406 N. Santa Cruz Ave.,Los Gatos,CA,1963.0,1997.0,,,Individualized Logo,,,,Pagoda and Green Border,Tea Cup,7.50 cm,5.00 cm,8.67 mm,7.83 mm,4.00 cm,2.00 mm,D,0,90.00 ml,183.11 g,
YEE HUNG GUEY CAFE,-118.2377462,34.0658857,FSL-094,956 N. Hill St,Los Angeles (New Chinatown),CA,,,,,Bird and Flower,,,B-III,,Tea Cup,7.50 cm,5.00 cm,9.06 mm,8.28 mm,4.00 cm,2.00 mm,D,0,90.00 ml,189.50 g,
WOO'S GARDEN,-118.3267264,33.93482243,FSL-095,11035 S. Crenshaw Blvd. ,Inglewood,CA,,,,,Women / Characters,,,,,Tea Cup,7.50 cm,5.00 cm,7.00 mm,8.65 mm,4.00 cm,2.00 mm,D,0,90.00 ml,160.02 g,
WOO'S GARDEN,-118.3267264,33.93482243,FSL-129,11035 S. Crenshaw Blvd.,Inglewood,CA,,,,,Bird and Flower,,,,,Ash Tray,10.00 cm,2.50 cm,4.87 mm,,5.00 cm,,D,0,,94.55 g,
TUEY FAR VEN CAFE,-118.2246616,33.9741482,FSL-096,2617 E. Florence Ave.,Huntigton Park,CA,,,,,Dragon and Phoenix,,1983.0,A-III,,Tea Cup,7.50 cm,5.00 cm,9.25 mm,8.55 mm,4.00 cm,2.00 mm,D,0,90.00 ml,194.10 g,
YOUNG CHINA CAFE,-118.1591815,34.0205683,FSL-097,5122 Whittier Blvd. ,Los Angeles,CA,,,,,Women / Characters,,,,,Tea Cup,8.00 cm,5.50 cm,6.15 mm,6.54 mm,4.00 cm,5.00 mm,H,0,130.00 ml,140.16 g,
LEM'S CAFE,-118.2405989,34.0498094,FSL-098,320 E. First St.,Los Angeles,CA,,,,yes,Women / Characters,,,,,Tea Cup,7.50 cm,5.00 cm,5.64 mm,7.09 mm,4.00 cm,2.00 mm,D,0,110.00 ml,135.93 g,
TAO TAO CAFE,-122.03058,37.3765069,FSL-100,175 So. Murphy Ave.,Sunnyvale,CA,1951.0,,,yes,Dragon and Phoenix,,1983.0,,,Tea Cup,7.50 cm,5.00 cm,5.02 mm,6.40 mm,3.50 cm,3.00 mm,,0,110.00 ml,117.21 g,
TAO TAO CAFE,-122.03058,37.3765069,FSL-106,175 So. Murphy Ave.,Sunnyvale,CA,1951.0,,,yes,Dragon and Phoenix,1951,1983.0,A-IV,,Tea Cup,8.00 cm,5.00 cm,5.04 mm,6.43 mm,4.00 cm,3.00 mm,B,0,110.00 ml,141.40 g,
THE POLYNESIAN RESTAURANT,-117.2727949,32.8453906,FSL-102,Herschel at Silverado,La Jolla,CA,,,,,Women / Characters,,,,,Tea Cup,8.00 cm,5.00 cm,5.21 mm,7.05 mm,4.00 cm,2.00 mm,D,0,110.00 ml,130.42 g,
THE POLYNESIAN RESTAURANT,-117.2727949,32.8453906,FSL-112,Herschel at Silverado,La Jolla,CA,,,,,Women / Characters,,,,,Tea Cup,8.00 cm,5.00 cm,5.05 mm,7.25 mm,4.00 cm,2.00 mm,D,0,110.00 ml,126.70 g,
YUET SUE'S TEA HOUSE,-119.313446,36.3095368,FSL-103,2332 S. Mooney Blvd.,Visalia,CA,1959.0,1973.0,Sue,,Women / Characters,1959,1973.0,,,Tea Cup,8.00 cm,5.00 cm,6.02 mm,7.26 mm,4.00 cm,3.00 mm,B,0,110.00 ml,142.58 g,
YUET SUE'S TEA HOUSE,-119.313446,36.3095368,FSL-309,2332 S. Mooney Blvd,Visalia,CA,1959.0,1973.0,Sue,,God of Longevity,1959,1973.0,GL I,,Tea Cup,7.6 cm,5.5 cm,6.3 mm,6.5 mm,3.7 cm,5 mm,G,0,113 ml,142.7 g,
YUET SUE'S TEA HOUSE,-119.313446,36.3095368,FSL-329,2332 S. Mooney Blvd.,Visalia,CA,1959.0,1973.0,Sue,,Bird and Flower,1959,1973.0,BF III,2 Chinese characters to either side of address,Saucer,,,,,,,D,0,,,Famous Chinese & American Food; Phone RE-2-8632 (address is partially smudged)
YUET SUE'S TEA HOUSE,-119.313446,36.3095368,FSL-330,2332 S. Mooney Blvd,Visalia,CA,1959.0,1973.0,Sue,,Bird and Flower,1959,1973.0,BF III,2 Chinese characters to either of side of address,Saucer,,,,,,,D,0,,,Famous Chinese & American Food; Phone RE-2-8632 (address is partially smudged)
YUET SUE'S TEA HOUSE,-119.313446,36.3095368,FSL-331,2332 S. Mooney Blvd.,Visalia,CA,1959.0,1973.0,Sue,,Bird and Flower,1959,1973.0,BF III,2 Chinese characters to either side of the address,Saucer,,,,,,,D,0,,,Famous Chinese & American Food; Phone RE-2-8632 (address is partially smudged)
YUET SUE'S TEA HOUSE,-119.313446,36.3095368,FSL-332,2332 S. Mooney Blvd.,Visalia,CA ,1959.0,1973.0,Sue,,Bird and Flower,1959,1973.0,BF III,2 Chinese characters to either side of the address,Saucer,,,,,,,D,0,,,Famous Chinese & American Food; Phone RE-2-8632 (address is partially smudged)
LIM'S CAFE,-122.3861163,40.5980927,FSL-104,592 N. Market St.,Redding,CA,1957.0,2023.0,,,Women / Characters,,,,Depiction of Restaurant's Neon Sign,Tea Cup,8.00 cm,5.00 cm,6.04 mm,7.74 mm,4.00 cm,2.00 mm,D,0,110.00 ml,149.72 g,
LIM'S CAFE,-122.3861163,40.5980927,FSL-116,592 N. Market St.,Redding,CA,1957.0,2023.0,,,God of Longevity,,,,Depiction of Restaurant's Neon Sign,Ash Tray,10.00 cm,2.50 cm,4.95 mm,,5.00 cm,,D,0,,92.85 g,
SAMPAN CANTONESE CUISINE,-117.9584908,33.826877,FSL-107,420 S. Brookhurst,Anaheim,CA,,,,,Women / Characters,,,,Picutre of Sampan at Dock and Chinese Structure,Tea Cup,8.00 cm,5.00 cm,6.56 mm,8.33 mm,4.00 cm,6.00 mm,H,0,110.00 ml,156.10 g,
SAMPAN CANTONESE CUISINE,-117.9584908,33.826877,FSL-113,420 S. Brookhurst,Anaheim,CA,,,,,Women / Characters,,,,Picutre of Sampan at Dock and Chinese Structure,Tea Cup,8.00 cm,5.00 cm,6.02 mm,8.01 mm,4.00 cm,5.00 mm,H,0,110.00 ml,146.72 g,
SAMPAN CANTONESE CUISINE,-117.9584908,33.826877,FSL-124,420 S. Brookhurst,Anaheim,CA,,,,,Individualized Logo,,,,Picutre of Sampan at Dock and Chinese Structure,Ash Tray,10.00 cm,2.50 cm,4.68 mm,,5.00 cm,,C,0,,91.86 g,
SHENG HAW LOW RESTAURANT,-117.072099,32.748746,FSL-108,5801 University Ave.,San Diego ,CA,1971.0,1984.0,Tommy Sheng,,Individualized Logo,1971,,,Red Dragon,Tea Cup,8.00 cm,5.50 cm,6.52 mm,7.33 mm,4.00 cm,5.00 mm,C,0,110.00 ml,147.76 g,
ACE CHOP SUEY,-122.2226109,37.7760634,FSL-109,7001 E. 14th St.,Oakland,CA,1942.0,,,yes,Women / Characters,,,C-VI ,,Tea Cup,8.00 cm,5.00 cm,5.28 mm,7.11 mm,3.50 cm,3.00 mm,B,0,110.00 ml,125.07 g,
ASIA CHOP SUEY,-118.3527083,33.8665372,FSL-110,859 N. Hawthorne Blvd.,Hawthorne,CA,,,,yes,Dragon and Phoenix,,1983.0,A-V,,Tea Cup,7.50 cm,5.00 cm,5.49 mm,7.12 mm,3.50 cm,3.00 mm,B,0,110.00 ml,125.27 g,
SHANGHAI LOW CAFE,-124.1520756,40.8048913,FSL-111,1815 4th. St.,Eureka,CA,,,,,Dragon and Phoenix,,1983.0,A-VII ,,Tea Cup,8.00 cm,5.50 cm,6.09 mm,7.67 mm,4.00 cm,5.00 mm,C,0,110.00 ml,138.88 g,
